iter	RMSE
0	3191.802277
1	2817.734664
2	2534.755444
3	2316.768996
4	2152.379907
5	2031.243128
6	1939.221868
7	1867.088244
8	1800.031064
9	1754.277578
10	1717.986435
11	1685.628155
12	1655.97578
13	1631.952813
14	1612.764765
15	1599.313182
16	1583.41195
17	1570.529502
18	1560.750755
19	1551.701374
20	1543.560188
21	1537.430042
22	1531.451935
23	1525.163067
24	1519.031585
25	1513.794677
26	1507.139521
27	1503.294065
28	1499.641924
29	1495.894496
30	1492.011805
31	1488.381021
32	1485.225493
33	1481.109671
34	1478.806168
35	1476.696807
36	1474.017944
37	1470.50041
38	1465.139345
39	1463.011212
40	1459.48141
41	1456.703204
42	1454.203758
43	1451.470351
44	1448.507905
45	1446.437451
46	1444.996084
47	1442.356111
48	1440.541684
49	1439.216084
50	1436.726934
51	1434.693506
52	1432.660585
53	1431.209759
54	1429.440132
55	1427.309242
56	1426.083463
57	1423.422761
58	1421.853487
59	1419.454494
60	1417.943161
61	1416.201455
62	1415.399043
63	1414.223963
64	1412.054403
65	1410.291126
66	1408.753932
67	1407.33217
68	1405.55212
69	1404.491443
70	1402.432695
71	1401.745007
72	1400.510156
73	1399.302378
74	1398.067732
75	1396.922104
76	1394.66314
77	1392.738529
78	1390.966403
79	1390.053026
80	1388.415847
81	1387.496896
82	1386.40032
83	1385.192991
84	1384.104126
85	1383.254325
86	1382.552832
87	1381.891191
88	1381.149534
89	1380.558635
90	1379.577565
91	1378.44206
92	1377.184385
93	1376.15279
94	1375.643489
95	1374.141546
96	1373.316262
97	1372.615497
98	1372.075226
99	1371.298603
100	1370.452506
101	1369.716435
102	1369.200523
103	1368.542501
104	1367.727306
105	1366.719131
106	1365.247981
107	1364.361815
108	1363.14929
109	1362.210612
110	1361.481058
111	1360.930136
112	1360.24308
113	1359.850743
114	1358.736597
115	1357.993877
116	1357.047361
117	1356.501484
118	1355.750481
119	1355.305843
120	1354.416924
121	1353.498327
122	1352.620939
123	1351.805006
124	1350.819462
125	1349.453331
126	1348.683846
127	1348.07823
128	1347.522941
129	1346.852476
130	1346.187964
131	1345.559608
132	1345.037917
133	1344.08831
134	1343.558719
135	1342.815708
136	1342.069079
137	1341.324659
138	1340.682324
139	1340.190806
140	1339.66674
141	1338.62612
142	1338.076007
143	1337.258323
144	1336.572771
145	1336.051647
146	1335.386422
147	1334.971042
148	1334.436025
149	1333.670325
150	1332.912199
151	1331.992696
152	1331.410131
153	1330.794858
154	1329.932235
155	1329.248586
156	1328.653211
157	1328.122088
158	1327.659705
159	1327.108561
160	1326.503065
161	1325.807548
162	1325.329561
163	1324.703979
164	1324.169005
165	1323.815703
166	1323.178014
167	1322.550307
168	1322.123702
169	1321.633653
170	1321.180433
171	1320.619261
172	1320.267653
173	1319.732967
174	1319.172012
175	1318.637429
176	1318.171721
177	1317.773909
178	1317.510813
179	1317.075377
180	1316.634719
181	1316.109099
182	1315.579652
183	1315.038179
184	1314.627389
185	1314.09943
186	1313.837872
187	1313.279066
188	1312.616319
189	1312.05016
190	1311.729882
191	1311.30986
192	1310.780386
193	1310.442765
194	1310.093512
195	1309.531152
196	1309.228288
197	1308.7665
198	1308.429473
199	1307.980766
200	1307.29096
201	1306.922583
202	1306.36679
203	1306.10208
204	1305.851408
205	1305.581674
206	1305.253616
207	1304.851063
208	1304.43335
209	1304.084402
210	1303.482477
211	1303.095162
212	1302.765612
213	1302.465988
214	1302.060239
215	1301.637571
216	1301.258351
217	1300.783229
218	1300.399239
219	1300.006193
220	1299.691629
221	1299.451811
222	1299.103183
223	1298.79239
224	1298.389921
225	1297.832386
226	1297.348226
227	1296.984644
228	1296.626806
229	1296.2594
230	1295.818913
231	1295.542076
232	1295.327262
233	1295.05604
234	1294.887969
235	1294.331347
236	1293.815475
237	1293.617628
238	1293.316947
239	1292.855015
240	1292.239008
241	1291.850052
242	1291.600716
243	1291.224305
244	1290.916882
245	1290.603801
246	1290.234012
247	1289.807872
248	1289.393057
249	1288.880305
250	1288.54885
251	1288.282889
252	1288.062805
253	1287.771207
254	1287.483087
255	1287.302964
256	1286.963175
257	1286.777177
258	1286.443319
259	1286.164332
260	1285.705673
261	1285.5005
262	1285.321752
263	1284.884145
264	1284.555152
265	1284.408616
266	1284.022605
267	1283.701489
268	1283.530437
269	1283.175948
270	1282.893418
271	1282.686237
272	1282.347369
273	1282.09212
274	1281.749314
275	1281.42556
276	1281.154025
277	1280.817508
278	1280.596066
279	1280.195467
280	1279.930507
281	1279.561186
282	1279.272212
283	1278.934585
284	1278.644537
285	1278.354818
286	1277.971061
287	1277.699914
288	1277.436031
289	1277.172558
290	1276.816652
291	1276.37426
292	1276.143675
293	1275.795669
294	1275.647199
295	1275.434108
296	1275.283057
297	1275.00661
298	1274.843691
299	1274.507969
300	1274.264381
301	1274.087908
302	1273.622734
303	1273.364397
304	1273.167352
305	1273.005104
306	1272.780913
307	1272.361884
308	1272.111659
309	1271.87691
310	1271.638138
311	1271.323653
312	1271.112468
313	1270.825102
314	1270.780699
315	1270.433405
316	1270.180536
317	1269.750644
318	1269.572964
319	1269.367969
320	1269.194281
321	1268.938019
322	1268.691316
323	1268.499836
324	1268.263406
325	1267.823142
326	1267.539915
327	1267.287815
328	1266.97575
329	1266.738949
330	1266.453116
331	1266.230865
332	1265.948389
333	1265.716071
334	1265.56196
335	1265.367699
336	1265.178864
337	1264.873115
338	1264.593666
339	1264.334545
340	1264.159145
341	1263.862874
342	1263.708277
343	1263.264001
344	1262.993414
345	1262.687247
346	1262.614503
347	1262.110516
348	1262.058734
349	1261.853818
350	1261.473732
351	1261.038997
352	1260.861453
353	1260.632421
354	1260.444806
355	1260.14213
356	1259.869063
357	1259.514542
358	1259.392342
359	1259.086554
360	1258.744748
361	1258.420082
362	1258.165409
363	1258.029335
364	1257.858554
365	1257.769742
366	1257.479232
367	1257.229235
368	1256.876611
369	1256.584495
