iter	Passed	Remaining
0	15	7704
1	30	7648
2	45	7513
3	60	7466
4	74	7380
5	88	7265
6	102	7224
7	116	7176
8	130	7109
9	143	7039
10	156	6955
11	170	6930
12	184	6918
13	199	6913
14	214	6922
15	227	6892
16	242	6887
17	256	6863
18	269	6828
19	283	6794
20	296	6768
21	310	6742
22	323	6715
23	340	6755
24	354	6744
25	367	6704
26	382	6694
27	395	6663
28	407	6624
29	420	6584
30	432	6547
31	446	6527
32	459	6509
33	473	6488
34	485	6455
35	497	6417
36	511	6396
37	523	6370
38	537	6355
39	550	6330
40	563	6313
41	577	6300
42	590	6280
43	604	6261
44	618	6257
45	632	6239
46	644	6214
47	658	6202
48	673	6194
49	686	6177
50	701	6172
51	714	6155
52	727	6138
53	741	6122
54	754	6105
55	769	6099
56	782	6083
57	798	6083
58	811	6067
59	825	6055
60	839	6039
61	852	6024
62	865	6005
63	879	5988
64	892	5973
65	907	5964
66	920	5950
67	934	5934
68	947	5920
69	961	5904
70	975	5892
71	988	5873
72	1000	5853
73	1013	5834
74	1027	5820
75	1041	5808
76	1054	5792
77	1067	5774
78	1080	5759
79	1093	5739
80	1106	5724
81	1119	5705
82	1132	5690
83	1146	5679
84	1160	5665
85	1172	5646
86	1185	5629
87	1198	5610
88	1211	5594
89	1225	5581
90	1239	5570
91	1253	5558
92	1267	5545
93	1282	5537
94	1294	5517
95	1308	5504
96	1320	5487
97	1333	5470
98	1346	5454
99	1360	5441
100	1374	5429
101	1388	5416
102	1400	5397
103	1412	5379
104	1427	5368
105	1440	5354
106	1454	5344
107	1468	5329
108	1481	5313
109	1495	5302
110	1509	5288
111	1522	5273
112	1535	5259
113	1548	5242
114	1561	5226
115	1574	5213
116	1587	5197
117	1600	5182
118	1615	5170
119	1628	5156
120	1642	5143
121	1655	5128
122	1668	5115
123	1683	5103
124	1696	5090
125	1710	5078
126	1724	5065
127	1738	5052
128	1752	5041
129	1767	5031
130	1781	5018
131	1795	5005
132	1808	4990
133	1822	4976
134	1835	4962
135	1848	4947
136	1862	4934
137	1875	4920
138	1889	4906
139	1902	4891
140	1915	4876
141	1929	4863
142	1942	4849
143	1956	4837
144	1970	4825
145	1983	4809
146	1997	4795
147	2009	4780
148	2022	4763
149	2035	4749
150	2050	4738
151	2063	4723
152	2076	4709
153	2090	4695
154	2103	4682
155	2116	4667
156	2129	4652
157	2141	4636
158	2155	4623
159	2168	4607
160	2181	4593
161	2195	4580
162	2208	4566
163	2221	4551
164	2235	4537
165	2248	4523
166	2262	4510
167	2275	4496
168	2287	4481
169	2301	4467
170	2314	4452
171	2328	4440
172	2341	4426
173	2354	4412
174	2368	4398
175	2381	4384
176	2395	4370
177	2408	4357
178	2423	4345
179	2436	4331
180	2449	4317
181	2463	4304
182	2476	4290
183	2489	4276
184	2502	4261
185	2516	4247
186	2529	4233
187	2542	4219
188	2556	4206
189	2569	4192
190	2582	4178
191	2596	4165
192	2610	4152
193	2623	4138
194	2637	4125
195	2651	4112
196	2664	4098
197	2678	4085
198	2692	4071
199	2705	4058
200	2719	4045
201	2732	4031
202	2747	4019
203	2761	4007
204	2775	3993
205	2788	3980
206	2801	3965
207	2815	3952
208	2828	3938
209	2842	3924
210	2855	3911
211	2869	3897
212	2882	3883
213	2895	3870
214	2909	3856
215	2922	3842
216	2935	3827
217	2948	3814
218	2961	3800
219	2976	3787
220	2989	3774
221	3017	3779
222	3030	3763
223	3042	3748
224	3055	3734
225	3070	3722
226	3084	3710
227	3097	3695
228	3111	3682
229	3125	3669
230	3140	3656
231	3153	3642
232	3167	3629
233	3181	3616
234	3194	3602
235	3209	3589
236	3223	3577
237	3237	3563
238	3250	3550
239	3263	3535
240	3277	3521
241	3290	3508
242	3311	3502
243	3325	3488
244	3338	3474
245	3351	3460
246	3364	3446
247	3378	3432
248	3391	3418
249	3404	3404
250	3417	3390
251	3431	3376
252	3444	3362
253	3457	3348
254	3471	3334
255	3483	3320
256	3497	3306
257	3509	3292
258	3523	3278
259	3536	3264
260	3551	3252
261	3564	3237
262	3577	3223
263	3591	3210
264	3605	3196
265	3617	3182
266	3631	3168
267	3645	3155
268	3658	3141
269	3672	3128
270	3685	3114
271	3698	3100
272	3711	3086
273	3725	3072
274	3740	3060
275	3754	3046
276	3767	3032
277	3780	3018
278	3793	3005
279	3808	2992
280	3821	2978
281	3834	2964
282	3848	2950
283	3861	2937
284	3875	2923
285	3889	2909
286	3902	2896
287	3915	2882
288	3928	2868
289	3941	2854
290	3955	2841
291	3969	2827
292	3981	2812
293	3994	2798
294	4006	2784
295	4019	2770
296	4034	2757
297	4047	2743
298	4060	2729
299	4074	2716
300	4088	2702
301	4101	2689
302	4114	2675
303	4128	2662
304	4142	2648
305	4156	2634
